id,instnm,st_fips,region,ccbasic,ccsizset,adm_rate,pplus_pct_low,pplus_pct_high,plus_debt_all_md,c150_4,c100_4,trans_4,c150_4_black,c150_4_hisp,c150_4_nhpi,c150_4_aian,c150_4_pell,ugds_black,ugds_hisp,ugds_aian,ugds_nhpi,ugds,ind_comp_orig_yr4_rt,lo_inc_comp_orig_yr4_rt,firstgen_comp_orig_yr4_rt,comp_orig_yr4_rt,wdraw_orig_yr3_rt,ind_wdraw_orig_yr3_rt,lo_inc_wdraw_orig_yr3_rt,firstgen_wdraw_orig_yr3_rt,cuml_debt_p10,cuml_debt_p25,cuml_debt_p75,cuml_debt_p90,npt41_pub,npt42_pub,npt43_pub,npt44_pub,npt45_pub,npt41_priv,npt42_priv,npt43_priv,npt44_priv,npt45_priv,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
335,Brewton-Parker College,13,5,22,8,0.7974,10,20,10000,0.1593,0.0531,0.5487,0.075,0.2727,,0.5,0.1304,0.4003,0.0503,0.0134,0.0117,597,,,,,0.431818181818,0.576923076923,0.505376344086,0.443786982249,3625,5500,22000,35418,,,,,,17184,17727,19759,21220,21549,8900,26876,57347,63000
336,College of Coastal Georgia,13,5,22,9,0.9735,0,5,9125,0.2355,0.119,0.4177,0.2214,0.3243,,0,0.2041,0.2018,0.0731,0.0022,0.0033,2750,0.228758169935,0.176691729323,0.186928104575,0.200823892894,0.367604267701,0.355769230769,0.401185770751,0.379310344828,1800,3500,14830,25750,11553,12224,14589,16066,16335,,,,,,5600,18750,53326,60000
337,Clayton  State University,13,5,19,12,0.6256,0,10,12000,0.3546,0.1425,0.2908,0.3323,0.425,0.5,,0.3469,0.6812,0.0901,0.0021,0.0012,5170,0.381333333333,0.342610364683,0.33572969087,0.339100346021,0.246341463415,0.220437956204,0.255958549223,0.246554364472,3500,7712,31251,45484,9497,10042,12662,14175,15341,,,,,,10400,27902,66374,73500
338,Columbia Theological Seminary,13,5,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Columbus State University,13,5,18,12,0.7852,0,10,12000,0.4272,0.1943,0.3204,0.4156,0.4783,,0.3333,0.4016,0.4068,0.075,0.0033,0.0017,5986,0.35390199637,0.332116788321,0.328671328671,0.351914414414,0.229817708333,0.220806794055,0.244695898161,0.242451154529,3500,6250,28250,39853,12235,12808,15403,17115,17149,,,,,,9900,26864,60072,69100
340,Covenant College,13,5,21,8,0.8854,5,10,21200,0.7287,0.6473,0.2132,0.6667,0.8889,,,0.7246,0.0274,0.0095,0.0071,0.0012,840,,0.516129032258,0.454545454545,0.562874251497,0.109170305677,,,,5075,9500,27000,34262.5,,,,,,17391,20782,22190,26812,27129,7100,27603,70846,83600
341,Dalton State College,13,5,22,12,,0,5,8703,0.2698,0.099,0.2932,0.18,0.2696,0,0.3333,0.262,0.035,0.3485,0.0048,0.0002,4169,0.209016393443,0.156028368794,0.193137254902,0.202391118702,0.402654867257,0.422413793103,0.426691729323,0.414151925078,1750,3276,17640.5,31696,4014,4399,6690,9317,9349,,,,,,6600,24060,54899,57700
342,Emmanuel College,13,5,22,8,0.7784,20,25,18428,0.3491,0.2672,0.444,0.275,0.6667,0.5,0,0.2909,0.1374,0.0712,0.0089,0.0076,786,,0.20652173913,0.360824742268,0.364661654135,0.174603174603,,0.269662921348,0.201183431953,2750,5500,25300,35241,,,,,,16357,16853,19201,21536,21477,7000,24681,56742,60000
343,Emory University,13,5,15,17,0.1305,0,5,30292,0.9004,0.8348,0,0.906,0.869,,1,0.8828,0.0806,0.1119,0.0006,0.0001,7050,0.790909090909,0.821548821549,0.845238095238,0.876,0.019699812383,,,0.026442307692,5500,8500,24898,27000,,,,,,9311,11416,15486,23426,47322,18300,55823,127303,135900
344,Georgia Highlands College,13,5,23,12,,0,5,11252,0.1951,,0.4108,0.1585,0.2349,0,,0.1619,0.1754,0.1791,0.0019,0.0015,4691,0.216404886562,0.159255429162,0.193487789606,0.191317516406,0.405315614618,0.416,0.412626832018,0.41135734072,1750,2750,9500,15149,5224,5971,8208,9933,11758,,,,,,7300,23565,60122,68500
345,Fort Valley State University,13,5,20,11,0.7226,20,25,13650,0.4488,0.2244,0.2902,0.4621,0.25,,,0.4286,0.9222,0.019,0.0004,0,2635,0.331210191083,0.318777292576,0.341155234657,0.348703170029,0.206036745407,0.293650793651,0.224890829694,0.216306156406,5500,9500,39750,51456,12349,13205,14506,17979,17267,,,,,,7900,21027,51196,58300
346,Georgia Institute of Technology-Main Campus,13,5,15,17,0.1596,5,10,26292,0.9192,0.5096,0.0467,0.802,0.8906,,1,0.8689,0.0748,0.0789,0.0006,0.0003,16566,0.616438356164,0.579439252336,0.569659442724,0.597126795753,0.138361045131,0.197674418605,0.178823529412,0.144756277696,5500,11500,30750,37500,8447,11620,14821,18062,19035,,,,,,23700,68788,129639,130000
347,Georgia Southwestern State University,13,5,19,10,0.8558,0,10,8409,0.3396,0.2005,0.4572,0.2653,0.2857,0,0.5,0.2775,0.3018,0.0694,0.0005,0.0015,2018,0.533039647577,0.322807017544,0.389763779528,0.402985074627,0.155378486056,0.154205607477,0.193037974684,0.153297682709,2750,5500,23500,33093,11214,11392,14074,15154,15008,,,,,,9100,28242,62895,69000
348,Georgia College & State University,13,5,18,13,0.8768,5,10,15000,0.6209,0.4864,0.3404,0.5085,0.6765,,0.5,0.5336,0.0386,0.0608,0.0016,0.0011,5489,0.418181818182,0.414746543779,0.47892074199,0.530357142857,0.102003642987,0.233766233766,0.148760330579,0.118556701031,4500,7500,25500,30183,15817,16499,19728,20712,21787,,,,,,11300,36978,78452,70600
349,Georgia Southern University,13,5,16,16,0.9051,5,10,13532,0.5362,0.3049,0.2918,0.5154,0.5056,0.5,0.3889,0.4795,0.2746,0.0761,0.0045,0.0014,22404,0.354481369587,0.382425135002,0.405785562633,0.421656507709,0.204712535344,0.242857142857,0.246819338422,0.223676880223,3500,7500,26427,35750,13442,13996,16707,18800,19092,,,,,,12000,32671,75558,75900
350,Georgia State University,13,5,15,15,0.9999,0,5,13962,0.5629,0.3431,0.2234,0.5693,0.5711,,,0.5411,0.4217,0.136,0.0009,0.0005,28415,0.260729267506,0.274698402348,0.293950967106,0.310962373372,0.244548128613,0.246085909273,0.256822140507,0.257283603096,2750,5500,25000,35989,15818,16329,18935,21232,21407,,,,,,10200,24427,68235,81800
351,University of Georgia,13,5,15,16,0.3998,5,10,20083,0.8784,0.6814,0.0749,0.8329,0.8552,0.8333,1,0.8272,0.0658,0.0698,0.0006,0.0008,30032,0.661971830986,0.682432432432,0.695399515738,0.713911386374,0.091736694678,0.143769968051,0.118231046931,0.098901098901,4500,8402,25500,30926,9820,11557,15844,17985,18218,,,,,,14200,41536,96520,96200
352,Gordon State College,13,5,23,10,0.8764,0,10,6961,0.1882,0.0274,0.4725,0.1233,0.3226,,0,0.1669,0.3971,0.0526,0.0004,0.0004,2546,0.239852398524,0.170454545455,0.170062001771,0.174231332357,0.32570905764,0.352331606218,0.338709677419,0.340522133939,2750,4750,15599,25750,7143,7972,11086,11925,12217,,,,,,7100,19548,52910,60800
353,Interdenominational Theological Center,13,5,24,18,,,,15384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,LaGrange College,13,5,22,8,0.7482,10,20,15746,0.4639,0.3916,0.4144,0.2879,0.3333,,1,0.4153,0.231,0.0345,0.0052,0,580,0.489361702128,0.330275229358,0.352941176471,0.411411411411,0.196610169492,,0.241379310345,0.216589861751,3500,5500,26001.5,32000,,,,,,18568,16665,21362,24116,26041,14800,34839,71794,70500
355,Life University,13,5,18,11,0.9591,5,10,19572,0.4022,0.2418,0.2174,0.25,0.3333,,0.5,0.2909,0.2434,0.2015,0.0143,0,908,0.451612903226,0.410447761194,0.423529411765,0.422764227642,0.238636363636,0.198198198198,0.229007633588,0.238888888889,2333,4043,19862,37334,,,,,,27098,27589,26108,29803,32131,7100,21697,74941,90300
356,Herzing University-Atlanta,13,5,22,6,0.9452,0,5,9358,0.2157,0.1351,0,0.3333,0,,,0.2609,0.6813,0.0595,0,0.007,571,0.332840673958,0.287412587413,0.32759609868,0.338302172815,0.311437626044,0.322291235335,0.338543809132,0.318826244642,2466,4750,23024,34866,,,,,,23507,23587,26890,,,12300,18302,51486,77200
357,Mercer University,13,5,16,14,0.7541,5,10,18551,0.7358,0.6339,0.2121,0.7463,0.6531,,,0.6766,0.2992,0.0694,0.0015,0.0011,4699,0.456692913386,0.482849604222,0.537867078825,0.596928982726,0.127394636015,0.194842406877,0.136482939633,0.137048192771,4904,9750,31000,41975,,,,,,16868,17724,20875,22758,24437,13400,34848,82006,114200
358,Morehouse College,13,5,21,11,0.6518,35,45,49970,0.4695,0.3333,0.3141,0.4716,0.5,0,,0.4038,0.9843,0.0012,0.0004,0,2554,0.411764705882,0.337448559671,0.331506849315,0.362676056338,0.17,,0.191111111111,0.177664974619,5500,9500,29000,37500,,,,,,19893,20450,26380,29285,31204,7000,27317,80523,96300
359,Morehouse School of Medicine,13,5,25,18,,,,32598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Oglethorpe University,13,5,21,11,0.8129,5,10,27953,0.5813,0.4406,0,0.5902,0.3704,1,,0.4965,0.228,0.1932,0.0036,0,1408,0.394736842105,0.455284552846,0.453947368421,0.486666666667,0.168384879725,0.25641025641,0.121495327103,0.162011173184,4750,5560,27000,37000,,,,,,11436,10701,13734,16557,16254,7600,26199,77229,91000
361,Paine College,13,5,21,8,0.5201,15,20,7581,0.08,0.048,0.512,0.0901,0,,,0.0952,0.8548,0.0373,0.0041,0,241,,,,0.066265060241,0.391608391608,,0.423076923077,,4750,7500,29750,45500,,,,,,10219,7564,11957,18104,,6400,18692,47440,56000
362,Piedmont University,13,5,18,11,0.67,10,15,15000,0.4796,0.3978,0,0.2222,0.4138,,,0.4597,0.1146,0.0767,0.0016,0.0008,1213,0.53488372093,0.469512195122,0.509803921569,0.509302325581,0.162962962963,0.220183486239,0.254901960784,0.180147058824,4266,6500,26996,36618,,,,,,15931,15507,18380,20378,23800,8100,33879,66597,67100
